nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Ameler, August (D)",1877-1940,RMG,Noord-Sumatra,1906-1936,,~ (1) 1908 Bertha Bechmann † 1931,,,,,,~ (2) 1935 Regina Lenz † 1980,,,,,Lenz: zie hierna,,,,,,,,,,,,,,,,,,,,,,,,,28
"Amstutz, Daniel, zdl. (Zwits.)",1906-1991,DZV,"MJava, zdl.",1934-1950,1946-1949 in Europa,~ W. Nachtigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
"Andel, zr. Corn. Cath. Herm. (N)",1913-1997,ZGKN-MJ,werkte onder vrouwen,1933-1936,d.v. H.A. van Andel,~ Storm van 's-Gravesande,,,verpleegster in Zzh Purbolinggo,1940-1942/3,de Jong MJ 793 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
"Andel, dr. H.A. van (N)",1875-1945,ZGKN-MJ,pred. in NL,1900-1911,† 1945 in Japanse internering,~ Bogor 1912: J.C. Rutgers † 1951,,,"Yogyakarta, miss. pred.",1912-1942,"zie BLGNP VI, 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
"Anders, Emilie (D)",1868-1922,RMG,"NSumatra, Missionsschwester",1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
"Anderson, E.G.O. (GB)",,LdH,Palu-dal,± 1917-1919,in Indonesië 1914-1928,~ B. Engberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
"Anken, zr. Roelfke van (N)",1906-2001,ZGKN-MJ,"Solo, hoofdverpleegster Zzh",1935-1942/3,"GZbl 1935, 141v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
"Anskohl, Martin (D)",1883-1945,RMG,Zuid-Kalimantan,1913-1925,"> pred. in Dld, † in O-Pruisen op",~ M. Bösebeck,,,,, de vlucht voor het Russ. leger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
"Antheunisse, A., ond. (N)",1896-1990,,"Kebumen, ond./hoofd HCS",1922-1940,de Jong MJ 772,~ 1920 Maria C. de Vlieger † 1981,,,"Batavia, admin. classis Btv GKN",1941,gevangene in Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
"Archer, Rev. Raymond LeRoy (VS)",1887-1970,EpMeth,Bogor,1911-1923,1930-1933 pred. in USA,~ 1916 Edna Priscilla Caye,,,superint. district Sumatra,1924-1929,1934 > Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
"Arff-Schumacher, Elli (D)",1865-1914,RMG,"NSumatra, Missionsschwester",1896-1897,Zie Mohri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
"Arkel, zr. G. van, diakones (N)",1903-1984,NZV,"Bandung, verpleegster",1930-1936,verlof 1936-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
later G. Kiewiet-van Arkel,,NZV,"Purwakarta (WJava), verpl.",1937-1942,,,,,internering en > NL,1942-1945,1946-47 in NL,,,VNZ/ZNHK,"Bandung, verpleegster",1947-1956,,,,,,,,,,,,,,,,,,,,,,,,,,40
"Arms, William, zdl (VS)",1802-1889,ABCFM,"Sumatra, Btv, Z-Kal., Singapore",1835-1837,"> terug naar VS, werd arts",~ (1) April 1835 Mary Maxwell † Des.1835,,,,,"IM in The Vermont Chro­nicle, 5 Juli 1889",~ (2) 1839 Mary Ann Aiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
"Arps, B.J., zdl (N)",1898-1962,NZV,Cianjur (WJava),1926-1931,ziekteverlof 1931-33,~ 1926 N.K.I. Hill † 1992,,,Sukabumi,1933-1942,1942-1948 intern. en > NL,,,,"Bandung, zendeling",1948-1956,verlof 1953,,,,,,,,,,,,,,,,,,,,,,,,,42
"As, A. van, zdl (N)",1886-1920,NZV,Indramayu (WJava),1909-1916,EndWJava 782,~ 1909 E.M. van Zijl † 1980,,,† op de terugreis naar Java,1916-1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
"Asselt, Gerrit van, zdl (N)",1832-1910,A'damseVV,"Lumut, Sipirok",1857-1861,Cma 306-308 enz.,~ (1) 1862 G.A. Malga 1836-1901,,AVV/RMG,Pangaloan (NSumatra),1861-1875,1863 overgang naar RMG,~ (2) Auguste Eder (?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
"Augusteijn, zr. Jolina (N)",1905-2000,NM/SZ,"Zzh Blora, verpleegster",1931-1936,,"~ 1936 W.C.A. Jansz (Pati, 1894-1962)",,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
"Baan, zr. Maria (N)",1896-1994,ZGKN-MJ,"Yogyakarta, verpleegster",1929-1930,"GZbl 1929, 185","~ R. Hulskers, peg. pa­brik gula (†Yogya 1943)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
"Baan, M.J.G., zie Voorst-Baan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
"Baarbé, Cornelia, ond., evangel. (N)",1894-1981,ZGKN-MJ,"Solo, ond. Kon. Emmaschool",1921-1925,"de Jong MJ 793; GZbl 1935,",,,,"Solo, dir. Meisjes-HCS",1925-1929,184; Woerdt 161-166,,,,hoofd Hhs te Magelang,1929-1935,,,,,hoofd Schakelschool Magelang,1932-1934,,,,,onder vrouwen in Magelang,1935-1944,in vrijheid tot 1944,,,,theol. studie aan STT Jakarta,...-1950,1946 naar NL,,,,pred. GKI Bandung ,1951-1954,1954 > NL,48
"Baarbé, zr. Hendrika (N)",1896-,ZGKN-MJ,"Solo, hoofdverpleegster Zzh",1921-1936,"> gepens. > NL. Rds MJ 856; GZbl 1928, 174; 1941, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
"Baarda, M.J. van, zdl (N)",1854-1940,UZV,Halmahera,1881-1917,Mblad SZC 1920-6; IM di,~ (1) A.A.R. Bottema † 1882,,,,,"NZblad 1940-12. Verlof 1894-96; 1917 > Java, wnd hp te De­pok, weer in, NL 1920 ",~ (2) 1887 C.L. van Rooij † 1892,,,,,,~ (3) 1897 L.J. van Dijken † 1944,,,,,,,,,,,,,,,,,,,,,,,,50
" Baars, Dingeman Joh., zdl (N)",1907-2000,NZG/VNZ,MCelebes,1938-1950,1942-45 Japanse internering,~ 1938 Aleida G. Bor † 1995,,,Sarmi (Papua),1951-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
"Baier, Georg (D)",1894-1987,BM,"Pangkoh, Mandomai (Z-Kal.)",1924-1940,10-5-1940 Ned. internering,~ (1) S. Fahrni † 9-2-1930,,,,,zie Tränen im Dschungel,~ (2) 1933 Luise Junginger † 1974 (1933 ond. Hhschool te Man­do­mai),,,,,"(Dagboek, LJ)",,,,,,,,,,,,,,,,,,,,,,,,,52
"Bakker, Dirk, (N)",1865-1932,ZGKN-MJ,pred. in NL,1889-1900,"Rds MJ 857. GZbl 1926, 6-10;",~ 1889 M. van der Bom † 1946,,,"Kebumen, bijbelvertaler",1900-1906,"1929, 163-7, 180; IM 1932, 36; ",,,,"Yogya, docent pred.opl. > em.",1906-1930,"1933, 4-8",,,,,,,,,,,,,,,,,,,,,,,,,53
"Bakker, Dirk, arts (N)",1898-1973,ZGKN-MJ,"Yogya, arts Zzh Petronella",1924-1926,"Rds MJ 857; GZbl 1924, 155-56; 1931, 149",~ (1) 1924 A.L Dethmers † 1945,,,,,,~ (2) 1953 J.G. Hörchner † 1995,,,"Klaten, arts Zzh",1926-1943,> huisarts in NL,,,,"Klaten en Solo, arts Zzh",1953-1961,1961 arts in Ghana (BM),,,,,,,,,,,,,,,,,,,54
"Bakker, F.L. (N)",1893-1971,ZGKN-MJ,"Yogya, docent pred.opleiding",1925-1942,"z.v. Dirk B., Reenders MJ 857",~ 1922 H.E. Allaart † 1964,,,Zendingsconsul > emeritus,1947/8-1951,"GZbl 1931, 261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
"Bakker, G.F.C., zdl (N)",1897-1954,KlAd/BM,Z-Kal. (voor Cl. Adam en BM),1925-1940,IM Zblad NHK 1954-12,~ 1924 M.J. Valkenburgh † 1985,,ZNB,Deli (Zendingsnoodbestuur),1941-1942,,,,,"Jap. internering, repatriëring",1942-1946, > pred. NHK,,,,,,,,,,,,,,,,,,,,,,,,,56
"Bakker, P., ond. (N)",,NZV,"Bandung, ond. HCS",1918-± 1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
"Balen, J.A. van, zdl. (N)",1854-1941,UZV,Mansinam (Papua),1883-1884,,"~ (1) 1882 Maria H. Peeters, † 11-07-1886",,,Roon (Papua),1884-1887,,~ (2) 1889 M.L. Michaux † 1933,,,Mansinam (Papua),1887-1889,,,,,Windesi (Papua),1889-1912,"verlof 1892, 1899",,,,,,,,,,,,,,,,,,,58
"Baljon, J.M.S., zendeling (N)",1891-1978,NZG,Mojowarno/Mojokerto (OJava),1918-1928,z.v. prof. dr. JMS Baljon,~ 1917 M C.L. Ossewaarde † 1978,,,Malang,1928-1932,verlof 1924-1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
"Baltin, zr. A. (N)",  -1942/45,,"Batavia, onder Chin. vrouwen",1900-1903,~ 1903 F. Schelf­horst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
"Bansemer, C.L., zdl. (D)",1885-1953,NM/SZ,Pemalang,1921-1939,"1939/40 verlof, kan niet te­rug ",~ 1920 zr. Frieda Kamp † 1964,,,,,naar Indonesië door WO II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Bär, Chr. G., zdl. (N)",,BM,Zuid-Kalimantan,1927-1940,,~ 1928 Mina Berta Michelfelder * 1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
"Bär Sr., J.J., zdl. (Zwits.)",1786-1851,NZG,"Ambon, taalstudie",1823-1825,"Kruijf 211, 679",~ ± 1824 Sara Marg. Wonderling (1793-1873),,,Kisar (ZW-Molukken),1825-1841,,,,,Ambon,1841-1843,,,,,Waai (Ambon),1843-1846,,,,,"Poka (Ambon), gepensioneerd",1846-1851,,,,,,,,,,,,,,63
"Bär Jr., J.J., zdl (N)",1829/30-'84,NZG,Ambon ,1855-1856,"z.v. J.J. Bär Sr. Kruijf 148, 679",~ 1858 Aug. Timmerman ,,,Nusalaut (Mal),1856-1858,,,,,"Waai (Ambon, Mal) > hp",1858-1873,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Barnstein, Joh. Heinrich, zdl. (D)",1802-1863,RMG,"Banjarmasin, Zuid-Kalimantan",1835-1863,"~ te Banjarmasin, 30-5-38",~ 1838 Caroline Scheuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Barreveld, zr. Teuntje H. (N)",1902-1978,SZ,"Purwodadi, verpl. Zzh",±1938-42/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
"Bart, Johann, zdl. (Zwits.)",1893-1943,BM,zendeling in China,1920-1928,"beiden door Jap. gedood, 11-7-",~ Julia Diemer † 1943,,,"Singkawang, zdl./wnd pred.",1930-1942,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
"Barth, Wilhelm, zdl. (D)",1869-1950,NM/SZ,"Bojonegoro, Ambarawa",1899-1932,> Neukirchen,~ (1) 1901 G. Löpmann †1919,,,,,GL: † aan de pest,~ (2) 1921 M.A.M. Neumann † 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
"Bassfeld, Dietrich (D)",1877-1940,RMG,Nias,1904-1913,> hulpprediker in Dld,~ 1908 Gertrud Barthe † 1970,,,,1922-1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
"Bast, Tijmen, arts (N)",1899-1999,ZGKN-MJ,"Purworejo, wnd arts in Zzh",1925-1926,"Rds MJ 858; GZbl 1925, 215 ",~ 1931 Neeltje de Haan (1904-1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
"Baughman, Rev. Burr J., (VS)",1887-1920,EpMeth,"Bogor, hoofd Engelse School",1909-1915,,~ 1907 Mabel Grace Hastings † 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
"Bauszat, Chr., zdl (D)",1879-1914,NM/SZ,Moga (Pekalongan),1908-1914 †,† aan typhus,~ 1915 Paula Pistor (1877-1948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
"Bauszat-Pistor, Paula (D)",1877-1948,NM/SZ,"Salatiga, evangeliste",1909-1940,weduwe van Chr. Bauszat,,,,,,10-05-1940 Ned. internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
"Bavinck, dr. J.H. (N)",1895-1964,ZGKN-MJ,pred. GK Medan en Bandung,1921-1926,Reenders MJ 858; BLGNP ,~ 1922 Tr. Robbers † 1953,,,"Solo, miss. pred.",1929-1933,"VI, 27-29; GZbl 1934, 111",~ 1956 Fenn. van der Vegt † 1976,,,"Yogya, docent opl. school, pred.",1934-1939,"> NL, hoogl. missiologie",,,,,,,,,,,,,,,,,,,,,,,,,74
"Bax, Hendrik, zdl. (N)",1887-1940,SZ,"Blora, Ambarawa, Salatiga",1915-1936,† te Purwodadi,~ 1919 Juliana E.T. Heller † 1974,,,,,d.v. zdl A.H.O. Heller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Becker, Emil (D)",1882-1955,RMG,Noord-Sumatra,1909-1923,,~ 1911 Martha Langenbruch,,,,,~ Tarutung 22-3-1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
"Becker, Johann Friedrich (D)",1811-1849,RMG,Zuid-Kalimantan,1836-1849,,~ 1839 Maria Brückner † na 1870,,,,,d.v. Gottlob W. Brückner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
"Becker, Karl (D)",1876-1923,RMG,Zuid-Kalimantan,1914-1923,1906-1911 Papua NG. † te ,~ Laura Schutte,,,,,Purwodadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
"Becker, Wilhelm (D). Dir. PT Becker Brand te Sibolga, penasihat RMG",,,,,,~1909 Gertrude MS Schrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
"Beckman Lapré, mw. L.M. (N)",,NZG,"Mojowarno (OJava), ond. HIS",1926-1934,"> Cirebon, Surabaya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
"Bedet, Jozias S., arts (N)",1914-1944,ZGKN-S,"Waikabubak, assistent-arts Zzh",1939-1941,"1941 mil., † 1944 in Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
"Beek, H. van de, zdl > ond. (N)",1897-1961,NZG,"Sibolangit, ond.",1921-1922,"IM Jaarverslag ZNHK 1961, 72",~ 1921 H.H. van Bergen van der Grijp † 1988,,,ziekteverlof (ond. in NL),1923-1929,,,,,"Malang, ond.",1929-1934,,,,SZC/ZGKN,"Probolinggo > Solo, docent HIK (tekenen en etnologie)",1934-1942,> 1949 legerpredikant,,,,,,,,,,,,,,,,,,,82
"Beek, W. van de, zdl. (N)",1888-1954,STC,"Lirung (Tal.), 1932 Manganitu ",1919-1942,"verlof 1927-28, 1936-37",~ 1918 Elisabeth J.W.B.G. van Wijk † 1958,,,Japanse internering,1942-1945,1946 naar NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
"Beekman, Fred. Gerard. (N)",1870-,UZV,Halmahera,1900,slechts enkele mnd. 1901 in NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
"Beekman, Hendrik Clement (N)",1896-1975,,"Solo, leraar aan chr. scholen",1920-1927,"GZbl 1927, 119",~ 1920 Maria Frederica de Heer (1880-1958),,,"Solo, docent HIKweekschool",1927-1942,"GZbl 1934, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
"Beel, Theodor (D)",1906-1972+,RMG,Nias,1929-1936,,~ 1931 Marieliese Meisel † 1963,,,Lintong ni Huta (Tapanuli),1936-1939,> pred. in Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
"Been, M. (N)",1838-1882,UZV,Galela (Halmahera),1867-1870,,~ 1867 Maria Ides † 1904,,,Tobelo (Halmahera),1870-1879,ontslagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
"Beisenherz, Auguste (D)",1865-1961,RMG,"NSumatra, Missionsschwester",1896-1934,werkt voor RMG in Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
"Beisenherz, Daniel G.C. (D)",1872-1952,RMG,Zuid-Kalimantan,1898-1900,,~ 1901 Dorothea Viehe † 1956,,,Noord-Sumatra,1905-1913,~19-6-1901 te Tarutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
"Bekkering, mw. M.J., ond. (N)",,STC,"Siau (NCel), ond. Zendings-HIS",1930-1932,HIS gesloten 1932,,,,"Tomohon (Min), Meisjesschool",1932-?,,,,,"Bolaang Mong., Meisjesschool",  ? -1934,,,,,,,,,,,,,,,,,,,,,,,,,,90
"Belksma, A., ond., zdl. (N)",1909-1945,GZB,ond. Schakelschool Makale,1928-1932,1938 geordend tot zdl.,~ 1931 M.J. Bronsveld † 1973,,,zdl ressort Makale > Palopo,1934-1939,† in Japanse internering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
"Belksma, J., ond., zdl. (N)",1884-1942,GZB,"Rantepao, leider guru-opleiding",1917-1942,1925 geordend tot zdl.,~ (1) 1907 H. Greidanus † 1937,,,"Rantepao, leider evang.-opl.",1930-1937,† Rantepao 03-03-1942,~ (2) 1938 HJJ van der Woude † '83,,,ressortszendeling Rante Pao,1917-1930,"zie BLGNP III, 36; EndToraja",,,,,,,,,,,,,,,,,,,,,,,,,92
"Ben, zr. A.A.C. van der (N)",1892-1966,SZ,"Kaliceret (MJ), vpl",1928-1934,> verpl. in Sumatra e.a.,~ [1941?] [..] Westerveld,,,"Kabanjahe (Deli), verpl.",1935-±1938,> uit de Zending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
"Bent, Nic. W. van der, zdl (N)",1913-1982,UZV,Weda (Halmahera),1940-1942,"1942-45 Jap. internering, > NL",~ Paulina Verkruissen (1914-1982),,,Tobelo (Halmahera),1942,,,,VNZ,Kopandakan (Bol. Mongondow),1949-1954,ziekteverlof 1954,,,ZNHK,Medan,1954-1958,,,,,Biak (Papua),1960-1962,> pred. in NL,,,,,,,,,,,,,94
